date,price
6/1/2005,56.26
7/1/2005,58.7
8/1/2005,64.97
9/1/2005,65.57
10/1/2005,62.37
11/1/2005,58.3
12/1/2005,59.43
1/1/2006,65.51
2/1/2006,61.63
3/1/2006,62.9
4/1/2006,69.69
5/1/2006,70.94
6/1/2006,70.96
7/1/2006,74.41
8/1/2006,73.05
9/1/2006,63.87
10/1/2006,58.88
11/1/2006,59.37
12/1/2006,62.03
1/1/2007,54.57
2/1/2007,59.26
3/1/2007,60.56
4/1/2007,63.97
5/1/2007,63.46
6/1/2007,67.48
7/1/2007,74.18
8/1/2007,72.39
9/1/2007,79.93
10/1/2007,86.2
11/1/2007,94.62
12/1/2007,91.73
1/1/2008,92.95
2/1/2008,95.35
3/1/2008,105.56
4/1/2008,112.57
5/1/2008,125.39
6/1/2008,133.93
7/1/2008,133.44
8/1/2008,116.61
9/1/2008,103.9
10/1/2008,76.65
11/1/2008,57.44
12/1/2008,41.02
1/1/2009,41.74
2/1/2009,39.16
3/1/2009,47.98
4/1/2009,49.79
5/1/2009,59.16
6/1/2009,69.68
7/1/2009,64.09
8/1/2009,71.06
9/1/2009,69.46
10/1/2009,75.82
11/1/2009,78.08
12/1/2009,74.3
1/1/2010,78.22
2/1/2010,76.42
3/1/2010,81.24
4/1/2010,84.48
5/1/2010,73.84
6/1/2010,75.35
7/1/2010,76.37
8/1/2010,76.82
9/1/2010,75.31
10/1/2010,81.9
11/1/2010,84.14
12/1/2010,89.04
1/1/2011,89.42
2/1/2011,89.58
3/1/2011,102.94
4/1/2011,110.04
5/1/2011,101.33
6/1/2011,96.29
7/1/2011,97.19
8/1/2011,86.33
9/1/2011,85.61
10/1/2011,86.41
11/1/2011,97.21
12/1/2011,98.57
1/1/2012,100.24
2/1/2012,102.25
3/1/2012,106.19
4/1/2012,103.33
5/1/2012,94.7
6/1/2012,82.41
7/1/2012,87.93
8/1/2012,94.16
9/1/2012,94.72
10/1/2012,89.57
11/1/2012,86.66
12/1/2012,88.25
1/1/2013,94.69
2/1/2013,95.32
3/1/2013,93.05
4/1/2013,92.07
